iter	dimension	patterns	tools_named	costs	integration_points	status	notes
0	setup	0	0	0	0	keep	Hub folder + README created
1	sponsor	13	Clay+Claude+Webhook	$200/mo Clay+$0 Claude+$0 logs	/api/stock/team/sponsors/[id]/enrich + draft-email modal + PATCH webhook	done	3-pattern core: enrichment, drafting, contact logging. Timeline: phase 1 (week of Apr 24), phase 2-5 (May-Sep). Bangor Savings case study included.
2	artist	14	Neynar+Claude+Twilio+Essentia	$2.30-5.30 total	/api/stock/artist-discovery/farcaster + /api/stock/artist-vetting + /api/stock/artist-rider-intake + /api/stock/artist-runofshow + /api/stock/artist-sms-schedule	done	14-angle discovery (Farcaster native ROI leader, ZAOCHELLA roster, Spotify deferred, rider intake, SMS day-of, brand packs). Bottleneck: finding 10 artists by May 15. Human gate: Zaal+DCoop vet by ear. Cost $2.30-5.30 entire fest.
3	volunteer	9	Claude+SignUp.com+Twilio+OR-Tools	$99/mo SignUp + $0.45 SMS + free OR-Tools	/api/stock/team/volunteers/suggest-role + /api/stock/team/volunteers/[id]/assign-shift + /api/stock/team/send-reminders + /api/stock/team/checkin-scanner + /api/stock/incidents/log	done	9-angle stack: skill-based role matching (Claude on bio), shift scheduling (OR-Tools or SignUp), SMS reminders (Twilio 3x), day-of QR check-in, incident logging (voice->Whisper->JSON), post-event NPS.
4	runofshow	10	Spotify+Claude+OR-Tools+Weather.gov	$0.15 Spotify pulls + free weather	/api/stock/schedule/optimize-energy + /api/stock/schedule/log-block-start + /api/stock/schedule/send-update-sms + /api/stock/stage-plots/extract-rider	done	10-angle: energy curve optimization, transitions, real-time delays, stage plots (Vision extract), talk pacing, WaveWarZ integration, weather contingency, load-in choreography, audience flow modeling. BUY NONE. BUILD custom (zero SaaS cost).
5	dayof	7	Deepgram+Twilio+Claude+S3+Rekognition	$15-55	/stock/team/logs /stock/team/triage /stock/dayof/photos	done	Voice logging + incident triage + SMS alerts. P0 voice/triage, P2 weather/photos, P3 crowd counting, P4 audio.
6	social	5	Claude+Firefly+S3+RunwayML+Paragraph	$2.50	/stock/social-queue /stock/recap	done	Pre-event countdown (14 posts), day-of live photo->caption->post, post-event highlight reel. P0 countdown+live, P1 reel, P2 Frames.
7	analytics	8	Roboflow+Neynar+X-API+Claude+Typeform	$30-50	/api/stock/analytics/attendance + /api/stock/analytics/social/sync + /api/stock/analytics/photos/score + /api/stock/analytics/sponsor_attribution + /api/stock/analytics/report	done	Post-event dashboard: RSVP-to-attendance (YOLO), social engagement (Neynar+X), photo curation (Haiku scoring), sponsor attribution (Magnetic QR), PDF reports. 80/20: attendance counter, social aggregator, photo scorer.
8	budget	11	Claude-vision+Bayesian+Slack+Puppeteer	$1.10	/api/stock/budget/receipt/ocr + /api/stock/budget/expense/categorize + /api/stock/sponsor_pipeline/sync + /api/stock/budget/forecast + /api/stock/budget/variance-report	done	Receipt OCR (photo->Claude->auto-category), sponsor pipeline forecasting (Bayesian expected value), variance alerts (weekly Friday). 80/20: receipt OCR saves 250 min, sponsor forecast, variance alerts. Cost $1.10 negligible.
9	media	12	Claude-vision+Runway+Descript+CapCut	$50-150	/api/stock/media/photo/score + /api/stock/media/captions/batch + /api/stock/media/clips/extract + /api/stock/media/reels/generate + /api/stock/media/artist-claim	done	Photo curation (Haiku batch scoring 1-5), auto-captions (Claude vision), video clipping (FFMPEG keyframe + editorial), short-form reels (Runway Gen-3 30-sec vertical), artist claim tokens. 80/20: batch captions $0.05, highlight reels $30-50.
